name,word,count,positive,negative,review_ids
6,6,2,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', '6R4MnLqSUftZnP701hHYKQ']"
started,started,5,100,0,"['amss15HcUsp2PVC0iBC5dw', 'sz3vax-yr104diI1-WCo_A', '6R4MnLqSUftZnP701hHYKQ', 's6TKXDkzihTGGn05wjcNbA', '_12JjluBanmqfpQnNl5wSQ']"
warm,warm,4,100,0,"['gUPteJ1yDiQ3fU0Q9gs_kQ', 'loqouE-XAuFcDRcdlxRnhQ', 'qLJZyg5zbPdnu7yEOWcS4Q', 'c4CFmuZeBWeS9DNSiPwJFQ']"
basically,basically,2,100,0,"['chC_bz58cHcbNauF4H0Muw', '_12JjluBanmqfpQnNl5wSQ']"
excellent,excellent,10,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'nqnqAqKeLPDTKmp7t_7s0A', 'gUPteJ1yDiQ3fU0Q9gs_kQ', 'WlB4wq4ry4FRru9uxy4XZg', 'ODryH6OmnyipNsUgRWh2KA', 'I93w9Kc-0RU12eZDRbcNqg', 'loqouE-XAuFcDRcdlxRnhQ', 'gtc5YWKUpJ6bdmChBHBE5g', 'zwvZRSXv-LBK4S8zkDSq_Q', '1TFEy7twpPcFPXPPZvRVBw']"
great place,great place,2,100,0,"['WlB4wq4ry4FRru9uxy4XZg', 'vHbn8Kek20VfdXtr-QXUVg']"
bartender,bartender,5,80,20,"['I93w9Kc-0RU12eZDRbcNqg', 'nqnqAqKeLPDTKmp7t_7s0A', 'vHbn8Kek20VfdXtr-QXUVg', 'QIQD9mAIJi3-dPC-mHBTbQ', 'sjQxKIdhrhwbRTvn8XVt_Q']"
salad,salad,7,85,14,"['9FQQxVdSk_4xuqIBzvUN9g', '_LzAvouyQOmUpu_Fei97og', 'JVrGn1gjDLr4c2aDke9IXQ', 'ENQgulGSN9rYU9BlCtKM4Q', 'qLJZyg5zbPdnu7yEOWcS4Q', 's6TKXDkzihTGGn05wjcNbA', 'Y1esjrYEnPYGUzfXstQkCQ']"
soup,soup,5,100,0,"['ENQgulGSN9rYU9BlCtKM4Q', 'qLJZyg5zbPdnu7yEOWcS4Q', 's6TKXDkzihTGGn05wjcNbA', 'vHbn8Kek20VfdXtr-QXUVg', 'QZ3cfoU3qRyjDtbPnvcsPw']"
awesome,awesome,4,100,0,"['uwv745L_6dRM4YzKvfM4Gw', 'zadySdxEp2ED9CO42k22lw', 'uD9slnbjoUeBITIFIyjwQw', 'qLJZyg5zbPdnu7yEOWcS4Q']"
heard,heard,2,50,50,"['QIQD9mAIJi3-dPC-mHBTbQ', '_12JjluBanmqfpQnNl5wSQ']"
veggies,veggies,2,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'ENQgulGSN9rYU9BlCtKM4Q']"
shrimp,shrimp,8,87,12,"['Y9xfpGSJPZywoL3VMZ0AaA', '9FQQxVdSk_4xuqIBzvUN9g', 'vHbn8Kek20VfdXtr-QXUVg', 'QIQD9mAIJi3-dPC-mHBTbQ', 'AnRtrp3uAEZWJIJfiuVchw', '6R4MnLqSUftZnP701hHYKQ', '_12JjluBanmqfpQnNl5wSQ', 'qLJZyg5zbPdnu7yEOWcS4Q']"
sit,sit,4,75,25,"['WlB4wq4ry4FRru9uxy4XZg', 'nqnqAqKeLPDTKmp7t_7s0A', 'vHbn8Kek20VfdXtr-QXUVg', 'QIQD9mAIJi3-dPC-mHBTbQ']"
amazing,amazing,2,100,0,"['amss15HcUsp2PVC0iBC5dw', 'QZ3cfoU3qRyjDtbPnvcsPw']"
yum,yum,2,100,0,"['amss15HcUsp2PVC0iBC5dw', 'a14-CKEdqDKQ9FFqCqnlSg']"
good news,good news,2,100,0,"['swSzPxOOjhJSw_6N1OZXrA', 'jIBNaoFtydbke3n1oVNr_A']"
wrong,wrong,2,100,0,"['ypNwIPenE77OJ9klbBYZow', 'loqouE-XAuFcDRcdlxRnhQ']"
birthday,birthday,2,100,0,"['sz3vax-yr104diI1-WCo_A', '1TFEy7twpPcFPXPPZvRVBw']"
date,date,2,100,0,"['r-OH_PlJVEf8JZifHssnHg', '_12JjluBanmqfpQnNl5wSQ']"
remember,remember,2,100,0,"['uwv745L_6dRM4YzKvfM4Gw', 'sjQxKIdhrhwbRTvn8XVt_Q']"
seafood au gratin,seafood au gratin,3,100,0,"['ENQgulGSN9rYU9BlCtKM4Q', 's6TKXDkzihTGGn05wjcNbA', 'QZ3cfoU3qRyjDtbPnvcsPw']"
lemon parmesan artichoke hearts,lemon parmesan artichoke hearts,2,100,0,"['ENQgulGSN9rYU9BlCtKM4Q', '_12JjluBanmqfpQnNl5wSQ']"
make,make,6,100,0,"['BhAqY5yi14TBm5eDeTlUDg', 'sjQxKIdhrhwbRTvn8XVt_Q', '_12JjluBanmqfpQnNl5wSQ', 'loqouE-XAuFcDRcdlxRnhQ', 'CxBfCjnKPRuDIkzXUaCWPw', '1TFEy7twpPcFPXPPZvRVBw']"
wine,wine,4,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'qLJZyg5zbPdnu7yEOWcS4Q', 'uD9slnbjoUeBITIFIyjwQw', '1TFEy7twpPcFPXPPZvRVBw']"
basement,basement,4,75,25,"['KAtPlJ8FwQ1fGiLSiBWwEQ', 'a6Mb8kUWBJhgIvuCl6P8TA', 'ODryH6OmnyipNsUgRWh2KA', 'sz3vax-yr104diI1-WCo_A']"
including,including,2,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', 'r-OH_PlJVEf8JZifHssnHg']"
perfect,perfect,2,100,0,"['ENQgulGSN9rYU9BlCtKM4Q', 'gtc5YWKUpJ6bdmChBHBE5g']"
ll,ll,3,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'AnRtrp3uAEZWJIJfiuVchw', '_12JjluBanmqfpQnNl5wSQ']"
appetizers,appetizers,7,100,0,"['AnRtrp3uAEZWJIJfiuVchw', 'gUPteJ1yDiQ3fU0Q9gs_kQ', '6R4MnLqSUftZnP701hHYKQ', 'I93w9Kc-0RU12eZDRbcNqg', 'Y1esjrYEnPYGUzfXstQkCQ', '1TFEy7twpPcFPXPPZvRVBw', 'QZ3cfoU3qRyjDtbPnvcsPw']"
orange,orange,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', '6R4MnLqSUftZnP701hHYKQ']"
sauce,sauce,6,100,0,"['9FQQxVdSk_4xuqIBzvUN9g', 'Go7AEgEVOFH8TQUBkj6pbw', 'swSzPxOOjhJSw_6N1OZXrA', '_12JjluBanmqfpQnNl5wSQ', 'Y1esjrYEnPYGUzfXstQkCQ', 'qLJZyg5zbPdnu7yEOWcS4Q']"
happened,happened,2,100,0,"['gUPteJ1yDiQ3fU0Q9gs_kQ', 'zwvZRSXv-LBK4S8zkDSq_Q']"
good place,good place,2,100,0,"['Xk41xO66IDmDfsHxcU9lbw', 'JVrGn1gjDLr4c2aDke9IXQ']"
louisianne,louisianne,11,81,18,"['_LzAvouyQOmUpu_Fei97og', 'QIQD9mAIJi3-dPC-mHBTbQ', 'gUPteJ1yDiQ3fU0Q9gs_kQ', 'jIBNaoFtydbke3n1oVNr_A', '6R4MnLqSUftZnP701hHYKQ', 'I93w9Kc-0RU12eZDRbcNqg', 'loqouE-XAuFcDRcdlxRnhQ', 'Y1esjrYEnPYGUzfXstQkCQ', 'qLJZyg5zbPdnu7yEOWcS4Q', 'zwvZRSXv-LBK4S8zkDSq_Q', 'QZ3cfoU3qRyjDtbPnvcsPw']"
coffee,coffee,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 's6TKXDkzihTGGn05wjcNbA']"
good,good,23,86,13,"['9FQQxVdSk_4xuqIBzvUN9g', 'a14-CKEdqDKQ9FFqCqnlSg', '6R4MnLqSUftZnP701hHYKQ', 'sz3vax-yr104diI1-WCo_A', 'PirkXZ2tktS_-RZNy_Jeiw', 'QIQD9mAIJi3-dPC-mHBTbQ', 'swSzPxOOjhJSw_6N1OZXrA', '_LzAvouyQOmUpu_Fei97og', 'sjQxKIdhrhwbRTvn8XVt_Q', 'JVrGn1gjDLr4c2aDke9IXQ', '1TFEy7twpPcFPXPPZvRVBw', 'Y9xfpGSJPZywoL3VMZ0AaA', 'uD9slnbjoUeBITIFIyjwQw', 'KAtPlJ8FwQ1fGiLSiBWwEQ', 'chC_bz58cHcbNauF4H0Muw', 'qLJZyg5zbPdnu7yEOWcS4Q', 'Y1esjrYEnPYGUzfXstQkCQ', 'QZ3cfoU3qRyjDtbPnvcsPw', 'AnRtrp3uAEZWJIJfiuVchw', 'c4CFmuZeBWeS9DNSiPwJFQ', 'ENQgulGSN9rYU9BlCtKM4Q', 's6TKXDkzihTGGn05wjcNbA', 'CxBfCjnKPRuDIkzXUaCWPw']"
return,return,2,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'AnRtrp3uAEZWJIJfiuVchw']"
pecans,pecans,2,100,0,"['vHbn8Kek20VfdXtr-QXUVg', '_12JjluBanmqfpQnNl5wSQ']"
food,food,20,95,5,"['Y9xfpGSJPZywoL3VMZ0AaA', 'nqnqAqKeLPDTKmp7t_7s0A', 'T4LMlqm85ZqrRdVm4pl1Zg', 'a14-CKEdqDKQ9FFqCqnlSg', 'c4CFmuZeBWeS9DNSiPwJFQ', 'BhAqY5yi14TBm5eDeTlUDg', 'ODryH6OmnyipNsUgRWh2KA', 'Go7AEgEVOFH8TQUBkj6pbw', 'sjQxKIdhrhwbRTvn8XVt_Q', 'KAtPlJ8FwQ1fGiLSiBWwEQ', 'zadySdxEp2ED9CO42k22lw', 'Shfqe7csAXA6zXsuox_QcQ', 'AnRtrp3uAEZWJIJfiuVchw', 'sz3vax-yr104diI1-WCo_A', 'ypNwIPenE77OJ9klbBYZow', 'Y1esjrYEnPYGUzfXstQkCQ', 'PirkXZ2tktS_-RZNy_Jeiw', 'gtc5YWKUpJ6bdmChBHBE5g', 'zwvZRSXv-LBK4S8zkDSq_Q', 'QZ3cfoU3qRyjDtbPnvcsPw']"
bar,bar,12,91,8,"['nqnqAqKeLPDTKmp7t_7s0A', 'vHbn8Kek20VfdXtr-QXUVg', 'QIQD9mAIJi3-dPC-mHBTbQ', 'gUPteJ1yDiQ3fU0Q9gs_kQ', 'WlB4wq4ry4FRru9uxy4XZg', 'HX8SuA-ss6kFraRe3eiHZQ', 'swSzPxOOjhJSw_6N1OZXrA', '_12JjluBanmqfpQnNl5wSQ', 'I93w9Kc-0RU12eZDRbcNqg', 'sz3vax-yr104diI1-WCo_A', 'Y1esjrYEnPYGUzfXstQkCQ', 'qLJZyg5zbPdnu7yEOWcS4Q']"
day,day,4,100,0,"['sz3vax-yr104diI1-WCo_A', 'qLJZyg5zbPdnu7yEOWcS4Q', 'a14-CKEdqDKQ9FFqCqnlSg', 'QZ3cfoU3qRyjDtbPnvcsPw']"
bread,bread,5,100,0,"['s6TKXDkzihTGGn05wjcNbA', 'ENQgulGSN9rYU9BlCtKM4Q', 'qLJZyg5zbPdnu7yEOWcS4Q', '9FQQxVdSk_4xuqIBzvUN9g', 'Y1esjrYEnPYGUzfXstQkCQ']"
meat,meat,2,100,0,"['9FQQxVdSk_4xuqIBzvUN9g', 'AnRtrp3uAEZWJIJfiuVchw']"
didn,didn,5,100,0,"['loqouE-XAuFcDRcdlxRnhQ', 'ENQgulGSN9rYU9BlCtKM4Q', 'qLJZyg5zbPdnu7yEOWcS4Q', '9FQQxVdSk_4xuqIBzvUN9g', 'AnRtrp3uAEZWJIJfiuVchw']"
stopped,stopped,2,100,0,"['9FQQxVdSk_4xuqIBzvUN9g', 'sjQxKIdhrhwbRTvn8XVt_Q']"
reasonable,reasonable,2,100,0,"['HX8SuA-ss6kFraRe3eiHZQ', 'Go7AEgEVOFH8TQUBkj6pbw']"
found,found,3,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', 'BhAqY5yi14TBm5eDeTlUDg', 'vHbn8Kek20VfdXtr-QXUVg']"
meal,meal,12,91,8,"['nqnqAqKeLPDTKmp7t_7s0A', '9FQQxVdSk_4xuqIBzvUN9g', 'KAtPlJ8FwQ1fGiLSiBWwEQ', 'gUPteJ1yDiQ3fU0Q9gs_kQ', 'chC_bz58cHcbNauF4H0Muw', 'swSzPxOOjhJSw_6N1OZXrA', 'AnRtrp3uAEZWJIJfiuVchw', '_12JjluBanmqfpQnNl5wSQ', 'sz3vax-yr104diI1-WCo_A', 'ENQgulGSN9rYU9BlCtKM4Q', 'qLJZyg5zbPdnu7yEOWcS4Q', 'Y1esjrYEnPYGUzfXstQkCQ']"
heavy,heavy,3,100,0,"['sz3vax-yr104diI1-WCo_A', 'qLJZyg5zbPdnu7yEOWcS4Q', '6R4MnLqSUftZnP701hHYKQ']"
house,house,2,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', 'a6Mb8kUWBJhgIvuCl6P8TA']"
ambiance,ambiance,6,100,0,"['Y9xfpGSJPZywoL3VMZ0AaA', 'qLJZyg5zbPdnu7yEOWcS4Q', 'T4LMlqm85ZqrRdVm4pl1Zg', 'zadySdxEp2ED9CO42k22lw', 'Shfqe7csAXA6zXsuox_QcQ', 'PirkXZ2tktS_-RZNy_Jeiw']"
yeah,yeah,2,100,0,"['vHbn8Kek20VfdXtr-QXUVg', 'Go7AEgEVOFH8TQUBkj6pbw']"
bland,bland,2,100,0,"['Y1esjrYEnPYGUzfXstQkCQ', 'qLJZyg5zbPdnu7yEOWcS4Q']"
entree,entree,9,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', 'AnRtrp3uAEZWJIJfiuVchw', '6R4MnLqSUftZnP701hHYKQ', 'amss15HcUsp2PVC0iBC5dw', 'chC_bz58cHcbNauF4H0Muw', 'loqouE-XAuFcDRcdlxRnhQ', 'Y1esjrYEnPYGUzfXstQkCQ', 'uwv745L_6dRM4YzKvfM4Gw', 'gtc5YWKUpJ6bdmChBHBE5g']"
special,special,5,100,0,"['sz3vax-yr104diI1-WCo_A', 'Y1esjrYEnPYGUzfXstQkCQ', 'AnRtrp3uAEZWJIJfiuVchw', 'vHbn8Kek20VfdXtr-QXUVg', '_12JjluBanmqfpQnNl5wSQ']"
crab puffs,crab puffs,5,100,0,"['amss15HcUsp2PVC0iBC5dw', 'uwv745L_6dRM4YzKvfM4Gw', 'I93w9Kc-0RU12eZDRbcNqg', 's6TKXDkzihTGGn05wjcNbA', 'AnRtrp3uAEZWJIJfiuVchw']"
put,put,3,100,0,"['sz3vax-yr104diI1-WCo_A', 'ENQgulGSN9rYU9BlCtKM4Q', 'chC_bz58cHcbNauF4H0Muw']"
wanted,wanted,3,66,33,"['qLJZyg5zbPdnu7yEOWcS4Q', '9FQQxVdSk_4xuqIBzvUN9g', 'QIQD9mAIJi3-dPC-mHBTbQ']"
ate,ate,3,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', '9FQQxVdSk_4xuqIBzvUN9g', 'vHbn8Kek20VfdXtr-QXUVg']"
couldn,couldn,3,100,0,"['uD9slnbjoUeBITIFIyjwQw', 'sqfgS--np35F5o2XHqFlAw', '_12JjluBanmqfpQnNl5wSQ']"
days,days,2,100,0,"['sz3vax-yr104diI1-WCo_A', 'sqfgS--np35F5o2XHqFlAw']"
times,times,2,100,0,"['PirkXZ2tktS_-RZNy_Jeiw', 'QZ3cfoU3qRyjDtbPnvcsPw']"
conversation,conversation,3,66,33,"['KAtPlJ8FwQ1fGiLSiBWwEQ', 'vHbn8Kek20VfdXtr-QXUVg', 'JVrGn1gjDLr4c2aDke9IXQ']"
place,place,20,85,15,"['nqnqAqKeLPDTKmp7t_7s0A', 'a6Mb8kUWBJhgIvuCl6P8TA', 'vHbn8Kek20VfdXtr-QXUVg', 'QIQD9mAIJi3-dPC-mHBTbQ', 'KAtPlJ8FwQ1fGiLSiBWwEQ', 'gUPteJ1yDiQ3fU0Q9gs_kQ', 'chC_bz58cHcbNauF4H0Muw', 'swSzPxOOjhJSw_6N1OZXrA', 'uD9slnbjoUeBITIFIyjwQw', 'T4LMlqm85ZqrRdVm4pl1Zg', '1TFEy7twpPcFPXPPZvRVBw', 'JVrGn1gjDLr4c2aDke9IXQ', '_12JjluBanmqfpQnNl5wSQ', 'sz3vax-yr104diI1-WCo_A', 'ypNwIPenE77OJ9klbBYZow', 'ENQgulGSN9rYU9BlCtKM4Q', 'UjV1OQSB0g5TJkdDD53_Gw', 'gtc5YWKUpJ6bdmChBHBE5g', 'qLJZyg5zbPdnu7yEOWcS4Q', 'QZ3cfoU3qRyjDtbPnvcsPw']"
isn,isn,2,100,0,"['ypNwIPenE77OJ9klbBYZow', 'vHbn8Kek20VfdXtr-QXUVg']"
arrived,arrived,3,100,0,"['I93w9Kc-0RU12eZDRbcNqg', 'BhAqY5yi14TBm5eDeTlUDg', '_12JjluBanmqfpQnNl5wSQ']"
loud,loud,3,33,66,"['KAtPlJ8FwQ1fGiLSiBWwEQ', 'BhAqY5yi14TBm5eDeTlUDg', 'QIQD9mAIJi3-dPC-mHBTbQ']"
waitress,waitress,6,100,0,"['nqnqAqKeLPDTKmp7t_7s0A', 'gUPteJ1yDiQ3fU0Q9gs_kQ', '6R4MnLqSUftZnP701hHYKQ', 'swSzPxOOjhJSw_6N1OZXrA', 'sz3vax-yr104diI1-WCo_A', 'qLJZyg5zbPdnu7yEOWcS4Q']"
enjoy,enjoy,4,100,0,"['sz3vax-yr104diI1-WCo_A', 'qLJZyg5zbPdnu7yEOWcS4Q', '9FQQxVdSk_4xuqIBzvUN9g', 'AnRtrp3uAEZWJIJfiuVchw']"
feel,feel,2,100,0,"['ENQgulGSN9rYU9BlCtKM4Q', 'gtc5YWKUpJ6bdmChBHBE5g']"
delicious,delicious,12,100,0,"['qLJZyg5zbPdnu7yEOWcS4Q', '9FQQxVdSk_4xuqIBzvUN9g', 'a14-CKEdqDKQ9FFqCqnlSg', 'gUPteJ1yDiQ3fU0Q9gs_kQ', 'jIBNaoFtydbke3n1oVNr_A', '6R4MnLqSUftZnP701hHYKQ', 'sjQxKIdhrhwbRTvn8XVt_Q', '_12JjluBanmqfpQnNl5wSQ', 'uwv745L_6dRM4YzKvfM4Gw', 'ENQgulGSN9rYU9BlCtKM4Q', '1TFEy7twpPcFPXPPZvRVBw', 'QZ3cfoU3qRyjDtbPnvcsPw']"
wasn,wasn,8,100,0,"['nqnqAqKeLPDTKmp7t_7s0A', '6R4MnLqSUftZnP701hHYKQ', 'Go7AEgEVOFH8TQUBkj6pbw', 'sjQxKIdhrhwbRTvn8XVt_Q', 'I93w9Kc-0RU12eZDRbcNqg', 'loqouE-XAuFcDRcdlxRnhQ', 'Y1esjrYEnPYGUzfXstQkCQ', 'qLJZyg5zbPdnu7yEOWcS4Q']"
quality,quality,2,100,0,"['Go7AEgEVOFH8TQUBkj6pbw', 'Shfqe7csAXA6zXsuox_QcQ']"
checked,checked,2,100,0,"['swSzPxOOjhJSw_6N1OZXrA', 'sjQxKIdhrhwbRTvn8XVt_Q']"
